'id','coverage','number_of_frames','scanned','medium','print_type','physical_location','remarks','created','last_modified','collection_id','frame_size_id','scale_id'
'6c316ba6-43db-4d7a-a18e-2ce66440dbe1','Partial',0,0,'Print','B&W','FC 41G','Toledo Bend Reservoir','2018-02-07 16:22:02.658666+00','2018-02-07 16:22:02.65866+00','e920832e-d449-48dd-824d-5c731cf9ae3b','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'c7c351a4-04d1-474d-b3f7-da0446d5d485','Partial',24,0,'Print','B&W','FC42 D','','2018-02-07 16:22:03.065031+00','2018-02-07 16:22:03.065024+00','5c259fe2-d64c-4e92-9123-e7330d003207','a3b9aa31-af6d-4052-8f73-552545a13e09','44227738-419c-4ea8-9974-f9a3622bf971'
'6a6318ed-f3c9-4628-b566-fabac18a3ccb','Partial',1,0,'Print','B&W','Photo Room','Bastrop Bayou','2018-02-07 16:22:03.430039+00','2018-02-07 16:22:03.430033+00','edbda05a-ee43-497d-9b1e-927803c2cea6','a3b9aa31-af6d-4052-8f73-552545a13e09','bf3e85b0-5aeb-4df2-a0f6-7472ad6f8b44'
'3c1f65e3-50e0-4cf6-ba2a-d47cc9fd6a83','Partial',136,0,'Print','B&W','FC41G','with Somervell County','2018-02-07 16:22:03.795239+00','2018-02-07 16:22:03.795233+00','ba38a7d1-c7e1-4656-8de3-62aa55674709','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'ed5046cf-d9c6-4448-9097-95aba0b535ea','Partial',106,0,'Print','B&W','PECOS','Black and White','2018-02-07 16:22:04.242338+00','2018-02-07 16:22:04.242332+00','af539417-28c3-4283-8e14-f0559536b4d6','a3b9aa31-af6d-4052-8f73-552545a13e09','339f9a1b-a239-459d-bdd8-f5afa20296e8'
'd55cf7f7-1c0a-4af8-9790-99db75ffb5b8','Partial',100,0,'Print','B&W','UPSHUR','GILMER','2018-02-07 16:22:05.134734+00','2018-02-07 16:22:05.134727+00','6bd03292-0890-46f1-8db4-587c74b36dac','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'37ace695-a516-48be-80fc-1210fd2ef84a','Partial',25,0,'Print','B&W','FC 40D','Bolivar Peninsula','2018-02-07 16:22:05.823045+00','2018-02-07 16:22:05.823038+00','9e139724-ba60-42ba-8586-67a9bd4fed4d','a3b9aa31-af6d-4052-8f73-552545a13e09','88549c04-efd3-4688-abf2-ff8f98690e6c'
'1f68bb0e-58dd-46ff-9174-9a029b726455','Partial',60,0,'Print','B&W','JEFFERSON','','2018-02-07 16:22:06.185284+00','2018-02-07 16:22:06.185278+00','a753346a-ac9b-4059-ac9f-bf23f7405afb','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'044cdded-b4a3-452e-acc0-7bd4f99707f2','Partial',3,0,'Print','B&W','LAVACA - Photo Room','','2018-02-07 16:22:00.750407+00','2018-06-29 14:26:38.542193+00','2d230378-55a1-45e3-8940-2a2c69b49f0f','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'55e5aea9-3a8c-4028-bbda-97d8c3dd2329','Partial',28,0,'Print','B&W','Nueces','Contains portions of rolls 1-6','2018-02-07 16:22:11.32587+00','2018-04-07 18:24:45.685391+00','793f6583-6e6a-407c-b3ab-2526834a6394','13913c8f-47de-4aff-91a7-fa8fdfa28bbe','10493d78-14cb-411e-8e7d-9ec2c6488ff3'
