"id","remarks","created","last_modified","collection_id"
"d2b31280-b9c6-4f0c-96a9-949200f8c91f","1 line index","2018-02-07 16:11:10.603666+00","2018-11-19 21:42:17.253471+00","a13321aa-e360-481b-b697-a28d70013fa8"
"e8a08a1d-e773-4abf-9ee7-6f126cb62f09","No line index","2018-02-07 16:11:06.411034+00","2018-11-13 22:13:10.898753+00","4f0f34b2-3810-4ba9-ba1e-0d987c808ddf"
"20011421-1f3c-4dfc-b8e8-39902d8e4549","No line index","2018-02-07 16:08:08.646879+00","2018-11-13 17:44:34.858015+00","b821f70c-a3d9-4ba8-a7c3-4faeeb2e19a9"
"b8bfd9e3-1caa-4037-8ad4-49dc62a7c90f","1 line index","2018-02-07 16:09:28.7455+00","2018-11-13 19:50:30.825271+00","a2e0f770-0f9d-4460-bc0b-2226b60a6aa3"
"7f1937db-13fa-4519-b75b-cc6a3b91466d","no line index","2018-02-07 16:09:47.6725+00","2018-11-16 20:27:28.83797+00","eba1df7e-a7ab-48d9-8a38-82fa81bc58e0"
"9502d794-a9de-49f1-aa84-572486fa95e8","Has line index","2018-02-07 16:09:19.405389+00","2018-11-13 20:30:03.207957+00","4a8d1dca-b67b-4f6c-b470-d909e6cb553f"
"d63893bb-6a92-4ba2-91d8-66ebbb444b5a","1 line index in FF","2018-02-07 16:09:44.094446+00","2018-11-28 22:16:33.623942+00","b2622048-78b6-4b31-a865-982e9bd39d66"
"8d10161f-7a29-4be2-9e55-89907564d4cf","no line index","2018-02-07 16:11:45.847417+00","2018-11-14 15:51:19.923764+00","d6377f92-2f74-4354-8bd9-1916abf86e46"
"50f4eb54-e13b-430f-a5ec-3c32c96ef302","1 line index","2018-02-07 16:11:16.398428+00","2018-11-14 16:32:29.362624+00","3ab20909-3e77-4fcb-baa0-42c9e4f670e7"
"fedc3829-263a-4eb4-803a-e0452c63bff8","1 line index","2018-02-07 16:11:11.089419+00","2018-11-14 16:56:18.138209+00","3dd8f211-dbdd-46d3-9f96-f03b7a437d20"
"ebcace75-b74c-44e8-9103-f6216937ae8d","1 line index of Galveston Co.","2018-02-07 16:09:21.676495+00","2018-11-14 19:50:54.200247+00","0973e20d-fe45-4397-ac52-5018fefdee27"
"d1a8a3b1-5fca-4e83-a020-8e8f1438b857","1 line index","2018-02-07 16:09:44.737162+00","2018-11-14 20:54:56.432774+00","5192c68c-6ecd-4fc6-a8de-0c7005ec8f79"
