"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"d16215bc-e0ae-4ac5-b330-f3a8efaecaea","EVK-1968","1968-04-30","1968-04-30",t,"Photo index only","2018-02-07 16:19:42.378742+00","2018-12-18 20:48:07.091824+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"aaac1e95-1521-49a8-9df8-2876d18e5d3c","CVG-1953","1953-01-10","1953-01-10",t,"","2018-02-07 16:19:48.641032+00","2018-08-29 16:35:06.455237+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"12954972-8088-44e0-9645-4ba1db58dd94","CRU-1950","1950-03-05","1950-05-23",t,"","2018-02-07 16:19:43.47977+00","2018-12-18 20:52:18.790552+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"7bdbcde0-0bf4-49ee-97ce-b2899224de47","CGV-1950","1950-04-29","1950-04-29",t,"","2018-02-07 16:19:46.369777+00","2018-09-04 18:29:52.620711+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"ebc32ad2-0465-4f95-b295-88ae006d5a2d","CGV-1956","1956-01-10","1956-01-10",t,"","2018-02-07 16:19:40.049676+00","2018-09-04 18:30:20.428124+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"db617511-649c-44bc-9440-cb2c26de5f04","DMI-1964","1964-10-22","1965-10-22",t,"Already georeferenced.  Have not been cropped.  Will need to be exported to geotiff format at next stage.","2018-02-07 16:19:52.740256+00","2018-12-20 17:37:43.194479+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"abd2ff7e-e89c-4ff0-90d4-2b1ce3cb56c0","DAG-1943","1943-05-11","1943-05-25",t,"No photo index for this collection","2018-02-07 16:19:40.372704+00","2018-12-19 15:04:41.722467+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"204b3372-0b97-4b95-8e23-3d2dd966fe21","DAA-1956","1956-04-20","1956-04-20",t,"","2018-02-07 16:19:28.477539+00","2018-09-05 16:37:54.696261+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"9b8f3f6b-5a31-41c0-a388-e379f74a8321","CWY-1962","1962-11-28","1962-12-03",t,"","2018-02-07 16:19:41.759781+00","2019-01-02 14:55:41.314842+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"b7ee519e-bab7-4079-8c20-541786548cee","BRC-1951","1951-04-13","1951-05-05",t,"","2018-02-07 16:19:38.33327+00","2018-12-19 21:06:09.227164+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
