band_relate_id,created,last_modified,band_type_id,collection_id
b2e5a005-acc4-48df-ade6-3e62afc45950,2018-07-30 15:13:09.553650,2018-07-30 15:13:09.553655,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,bfdb7a76-a36c-4e9b-ba18-e8c8b259ed91
de10f79c-579b-4e28-9ab9-268377035192,2018-07-30 15:13:09.553730,2018-07-30 15:13:09.553736,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,a5970f51-1fb6-49f3-8fb0-f862cb255415
7a4d0ddb-4d04-49cf-a23e-4dfa85f74878,2018-07-30 15:13:09.553766,2018-07-30 15:13:09.553771,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,a5970f51-1fb6-49f3-8fb0-f862cb255415
d8cfae05-76b3-45ca-9276-5cd65884253c,2018-07-30 15:13:09.553898,2018-07-30 15:13:09.553904,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,c7aa3dae-3934-4d36-91a3-9f53526c9438
3a5b602d-81bc-4825-9584-8a7bdce69266,2018-07-30 15:13:09.553999,2018-07-30 15:13:09.554005,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,40959f80-cc22-433a-bc89-1ab6789c750b
ee3d09d9-8f3b-4209-95a4-c70c80ca83a2,2018-07-30 15:13:09.554256,2018-07-30 15:13:09.554263,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,6ab34fe4-90b4-4474-a327-2a7b1cf65923
048050ff-d2de-4be9-a3b2-d1cee9726a63,2018-07-30 15:13:09.554572,2018-07-30 15:13:09.554578,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,c5452b6f-751d-4161-bb40-e51b4abe4ca4
2e945d91-4023-4a35-8b52-6e03abec3edf,2018-07-30 15:13:09.554794,2018-07-30 15:13:09.554801,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,b7e5b638-99f0-4676-9411-c88d06d49943
ed712035-bab0-443a-86c0-4b7db0cfd4cb,2018-07-30 15:13:09.554831,2018-07-30 15:13:09.554837,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,b7e5b638-99f0-4676-9411-c88d06d49943
bba93c01-e850-4de2-bfe6-8f103af5236a,2018-07-30 15:13:09.554977,2018-07-30 15:13:09.554983,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,924d3c6f-9f74-4147-8044-d4025f12eac3
8c6f5d36-d351-44db-8f08-7b409ecdeb36,2018-07-30 15:13:09.555014,2018-07-30 15:13:09.555019,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,924d3c6f-9f74-4147-8044-d4025f12eac3
a9706da0-84d4-4903-af61-49270127f00f,2018-07-30 15:13:09.555318,2018-07-30 15:13:09.555325,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,0ec8bfd4-2c19-458c-a511-8b3d7487ac27
bc5c86b6-8b36-4645-9bc6-afaba9a08177,2018-07-30 15:13:09.555440,2018-07-30 15:13:09.555447,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,df4303b6-aed5-4075-98df-cadb84990165
75a8ccde-651b-4346-99fa-d3c23c2165fc,2018-07-30 15:13:09.555477,2018-07-30 15:13:09.555482,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,df4303b6-aed5-4075-98df-cadb84990165
beab4a56-a9ce-48e4-bf21-22a1347e89ab,2018-07-30 15:13:09.555543,2018-07-30 15:13:09.555549,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,4ef9121b-1de2-444b-a7c3-9d99e77b9fdd
ff0b2078-6064-4277-895b-3e8c43bdcc3a,2018-07-30 15:13:09.555965,2018-07-30 15:13:09.555972,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,97e5fa3b-8b12-4132-814d-dbb9335c6709
94557d6c-61fd-487f-8a7b-40ff987a667d,2018-07-30 15:13:09.556122,2018-07-30 15:13:09.556129,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,a8756dac-62a7-4b51-8d07-ab0cecb6e600
0dab979c-99cc-4c73-8380-4c8adcc599fa,2018-07-30 15:13:09.556199,2018-07-30 15:13:09.556205,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,e56d2659-7c04-4ed9-a354-75bbe45647c6
0fc72a31-4a33-4416-a29b-10ac26a0d4d3,2018-07-30 15:13:09.556274,2018-07-30 15:13:09.556280,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,0bf2bc60-48f4-4b2e-849f-31e25da08c91
9ede6aae-3321-417d-971a-aa4795562da7,2018-07-30 15:13:09.556389,2018-07-30 15:13:09.556396,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,1849447b-4f62-4318-81d3-9fef9c31482c
8e199bbe-8f6f-4782-b86d-09b9863f5358,2018-07-30 15:13:09.556426,2018-07-30 15:13:09.556431,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,1849447b-4f62-4318-81d3-9fef9c31482c
cf3f01a1-fdd1-48eb-9728-521bee653627,2018-07-30 15:13:09.556686,2018-07-30 15:13:09.556693,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,58b8f94e-c1c4-4a8f-bc2b-bd96e35b83fd
cdd158c4-31a4-40c8-9078-a8181a1e432c,2018-07-30 15:13:09.556724,2018-07-30 15:13:09.556729,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,58b8f94e-c1c4-4a8f-bc2b-bd96e35b83fd
cbb1a08b-aa19-43ff-be03-e7b86a98682b,2018-07-30 15:13:09.556863,2018-07-30 15:13:09.556869,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,cd77e3c0-58b5-4097-860d-81c9865ff0a8
9a3a74bc-0498-47e0-be49-be318feb48f0,2018-07-30 15:13:09.557012,2018-07-30 15:13:09.557018,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,e7d2ccee-5288-4257-85bc-e4a2babf91ee
95b75ad4-7a46-4de3-9934-132cb9f5244d,2018-07-30 15:13:09.557048,2018-07-30 15:13:09.557053,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,e7d2ccee-5288-4257-85bc-e4a2babf91ee
479d82d0-36a0-43e7-9645-6d6c9dbd7645,2018-07-30 15:13:09.557145,2018-07-30 15:13:09.557152,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,2b756f1b-f695-46fe-ab00-c3e390c336a0
ba8924bd-cf6d-40de-83e4-e8e0c6dfd8bb,2018-07-30 15:13:09.557357,2018-07-30 15:13:09.557363,9c13abc2-e472-470a-8db1-1ca6446199a3,da8e3105-0b2e-450b-b8c3-59654b663152
150cc74b-2b16-4bcd-8304-cbaf18917943,2018-07-30 15:13:09.557426,2018-07-30 15:13:09.557432,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,0c09e269-e0e1-4725-946c-416e3c55614b
7dcf72ce-9682-407d-a593-869c632e03e7,2018-07-30 15:13:09.557879,2018-07-30 15:13:09.557886,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,09f32e91-6579-4db1-91e4-4a0655af51ac
a351d7f1-4b11-4c22-8f1e-fa8f85f17dba,2018-07-30 15:13:09.557918,2018-07-30 15:13:09.557923,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,09f32e91-6579-4db1-91e4-4a0655af51ac
d12d3116-e98b-4445-9d2b-b1151b8744aa,2018-07-30 15:13:09.558047,2018-07-30 15:13:09.558053,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,73eaebe0-1dd7-461d-8d79-5687b4465c7b
18ee66b1-2c87-45cf-8fec-ecb4f5aea9af,2018-07-30 15:13:09.558181,2018-07-30 15:13:09.558187,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,d28415b0-e933-4395-a66b-7d983a63abec
bcd80c79-db58-45d4-9fce-0e47721dd065,2018-07-30 15:13:09.558363,2018-07-30 15:13:09.558369,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,4fe0ec12-331f-470d-abb2-5401bcf53714
ab0603c5-376b-491c-b023-29649362eb63,2018-07-30 15:13:09.558399,2018-07-30 15:13:09.558405,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,4fe0ec12-331f-470d-abb2-5401bcf53714
13ac2441-f031-4a34-ba35-ffa8c90872ec,2018-07-30 15:13:09.558559,2018-07-30 15:13:09.558566,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,72aac46c-bf78-4357-bdd4-26212e8df890
91108bfb-ffbc-46c0-a4b5-92d05ea11bc8,2018-07-30 15:13:09.558873,2018-07-30 15:13:09.558880,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,a169c018-0b18-411a-97b8-66c45bea8a87
2aad3ce5-2a1b-4c8a-95d9-49c6f611fdeb,2018-07-30 15:13:09.559039,2018-07-30 15:13:09.559045,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,f4766ad6-2e10-4571-aa0c-c353b96d4d90
a984f488-7141-486a-8b94-48eadeeeaa9b,2018-07-30 15:13:09.559206,2018-07-30 15:13:09.559212,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,43c56651-c2da-4e66-a8fe-23915734fabd
8c3442ff-66c5-4603-b955-244ac28b850f,2018-07-30 15:13:09.559831,2018-07-30 15:13:09.559838,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,09205f28-289b-42b0-926b-dc6b4c214393
4ce2e3bc-a8e0-4213-ae09-7c83d078b051,2018-07-30 15:13:09.560151,2018-07-30 15:13:09.560158,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,1d69eeb7-d3ab-48d9-8899-2d54476832ba
b8da747e-71ca-4019-a8ef-7e8fcdf80cbf,2018-07-30 15:13:09.560189,2018-07-30 15:13:09.560195,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,1d69eeb7-d3ab-48d9-8899-2d54476832ba
03312392-eb15-48ea-aa82-c6f34b5bbd88,2018-07-30 15:13:09.560263,2018-07-30 15:13:09.560269,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,338b3ade-2807-4a28-bbaf-73b50cecca7f
6ef1fa51-2aa1-44f1-8323-a12ec4aafb94,2018-07-30 15:13:09.560361,2018-07-30 15:13:09.560368,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,0317aedf-574f-4655-a956-f47109da49ca
9531be7e-c84b-4b57-86e7-6f931f76bef8,2018-07-30 15:13:09.560499,2018-07-30 15:13:09.560506,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,7c41cd9d-fea3-484b-9e76-e0561fb01556
5537501e-b0dc-42c2-8f5e-8641ef8d8d7b,2018-07-30 15:13:09.560581,2018-07-30 15:13:09.560587,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,b861bf31-866f-4b60-b153-bfd64ebe83db
23d2bbe0-9ec4-4888-8e17-db2a9cd207d7,2018-07-30 15:13:09.560616,2018-07-30 15:13:09.560621,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,b861bf31-866f-4b60-b153-bfd64ebe83db
bd7fadda-fa3e-4f4f-9df4-5ebca8d60a56,2018-07-30 15:13:09.560711,2018-07-30 15:13:09.560717,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,694e05e7-3284-4eeb-a88f-3b50ee50f8ed
6445cde8-626d-43f9-a357-c1c89ce6ea1d,2018-07-30 15:13:09.560824,2018-07-30 15:13:09.560830,9c13abc2-e472-470a-8db1-1ca6446199a3,8f8e27bf-799d-408d-8eec-ea11b05d2668
9b5e66c1-e3dd-489c-969f-2b5e3a3c6e1e,2018-07-30 15:13:09.561216,2018-07-30 15:13:09.561223,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,b2a7314a-7861-410b-b551-480c61ff582f
